"Statistic","Year","Value","Type of Registration","UNIT","VALUE"
"Value Profile of New Cars Registered","2005","0 - 7000","Gross registrations","Number","4"
"Value Profile of New Cars Registered","2005","0 - 7000","Exempt registrations","Number",""
"Value Profile of New Cars Registered","2005","0 - 7000","Net registrations","Number","4"
"Value Profile of New Cars Registered","2005","7,001 - 8,000","Gross registrations","Number",""
"Value Profile of New Cars Registered","2005","7,001 - 8,000","Exempt registrations","Number",""
"Value Profile of New Cars Registered","2005","7,001 - 8,000","Net registrations","Number",""
"Value Profile of New Cars Registered","2005","8,001 - 13,000","Gross registrations","Number","3881"
"Value Profile of New Cars Registered","2005","8,001 - 13,000","Exempt registrations","Number","43"
"Value Profile of New Cars Registered","2005","8,001 - 13,000","Net registrations","Number","3838"
"Value Profile of New Cars Registered","2005","13,001 - 14,000","Gross registrations","Number","10490"
"Value Profile of New Cars Registered","2005","13,001 - 14,000","Exempt registrations","Number","89"
"Value Profile of New Cars Registered","2005","13,001 - 14,000","Net registrations","Number","10401"
"Value Profile of New Cars Registered","2005","14,001 - 15,000","Gross registrations","Number","15010"
"Value Profile of New Cars Registered","2005","14,001 - 15,000","Exempt registrations","Number","139"
"Value Profile of New Cars Registered","2005","14,001 - 15,000","Net registrations","Number","14871"
"Value Profile of New Cars Registered","2005","15,001 - 20,000","Gross registrations","Number","45533"
"Value Profile of New Cars Registered","2005","15,001 - 20,000","Exempt registrations","Number","946"
"Value Profile of New Cars Registered","2005","15,001 - 20,000","Net registrations","Number","44587"
"Value Profile of New Cars Registered","2005","20,001 - 25,000","Gross registrations","Number","41485"
"Value Profile of New Cars Registered","2005","20,001 - 25,000","Exempt registrations","Number","1101"
"Value Profile of New Cars Registered","2005","20,001 - 25,000","Net registrations","Number","40384"
"Value Profile of New Cars Registered","2005","25,001 - 30,000","Gross registrations","Number","23351"
"Value Profile of New Cars Registered","2005","25,001 - 30,000","Exempt registrations","Number","855"
"Value Profile of New Cars Registered","2005","25,001 - 30,000","Net registrations","Number","22496"
"Value Profile of New Cars Registered","2005","30,001 - 40,000","Gross registrations","Number","15922"
"Value Profile of New Cars Registered","2005","30,001 - 40,000","Exempt registrations","Number","689"
"Value Profile of New Cars Registered","2005","30,001 - 40,000","Net registrations","Number","15233"
"Value Profile of New Cars Registered","2005","40,001 - 50,000","Gross registrations","Number","5901"
"Value Profile of New Cars Registered","2005","40,001 - 50,000","Exempt registrations","Number","163"
"Value Profile of New Cars Registered","2005","40,001 - 50,000","Net registrations","Number","5738"
"Value Profile of New Cars Registered","2005","50,001 - 60,000","Gross registrations","Number","3924"
"Value Profile of New Cars Registered","2005","50,001 - 60,000","Exempt registrations","Number","84"
"Value Profile of New Cars Registered","2005","50,001 - 60,000","Net registrations","Number","3840"
"Value Profile of New Cars Registered","2005","60,001 - 70,000","Gross registrations","Number","3451"
"Value Profile of New Cars Registered","2005","60,001 - 70,000","Exempt registrations","Number","28"
"Value Profile of New Cars Registered","2005","60,001 - 70,000","Net registrations","Number","3423"
"Value Profile of New Cars Registered","2005","70,001 - 80,000","Gross registrations","Number","1265"
"Value Profile of New Cars Registered","2005","70,001 - 80,000","Exempt registrations","Number","9"
"Value Profile of New Cars Registered","2005","70,001 - 80,000","Net registrations","Number","1256"
"Value Profile of New Cars Registered","2005","80,001 - 90,000","Gross registrations","Number","589"
"Value Profile of New Cars Registered","2005","80,001 - 90,000","Exempt registrations","Number","3"
"Value Profile of New Cars Registered","2005","80,001 - 90,000","Net registrations","Number","586"
"Value Profile of New Cars Registered","2005","90,001 - 100,000","Gross registrations","Number","308"
"Value Profile of New Cars Registered","2005","90,001 - 100,000","Exempt registrations","Number","2"
"Value Profile of New Cars Registered","2005","90,001 - 100,000","Net registrations","Number","306"
"Value Profile of New Cars Registered","2005","100,001 - 150,000","Gross registrations","Number","666"
"Value Profile of New Cars Registered","2005","100,001 - 150,000","Exempt registrations","Number","4"
"Value Profile of New Cars Registered","2005","100,001 - 150,000","Net registrations","Number","662"
"Value Profile of New Cars Registered","2005","150,001 - 200,000","Gross registrations","Number","48"
"Value Profile of New Cars Registered","2005","150,001 - 200,000","Exempt registrations","Number",""
"Value Profile of New Cars Registered","2005","150,001 - 200,000","Net registrations","Number","48"
"Value Profile of New Cars Registered","2005","200,001 - 250,000","Gross registrations","Number","43"
"Value Profile of New Cars Registered","2005","200,001 - 250,000","Exempt registrations","Number",""
"Value Profile of New Cars Registered","2005","200,001 - 250,000","Net registrations","Number","43"
"Value Profile of New Cars Registered","2005","Over 250,000","Gross registrations","Number","10"
"Value Profile of New Cars Registered","2005","Over 250,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2005","Over 250,000","Net registrations","Number","9"
"Value Profile of New Cars Registered","2005","All values","Gross registrations","Number","171881"
"Value Profile of New Cars Registered","2005","All values","Exempt registrations","Number","4156"
"Value Profile of New Cars Registered","2005","All values","Net registrations","Number","167725"
"Value Profile of New Cars Registered","2006","0 - 7000","Gross registrations","Number","2"
"Value Profile of New Cars Registered","2006","0 - 7000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2006","0 - 7000","Net registrations","Number","2"
"Value Profile of New Cars Registered","2006","7,001 - 8,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2006","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2006","7,001 - 8,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2006","8,001 - 13,000","Gross registrations","Number","4470"
"Value Profile of New Cars Registered","2006","8,001 - 13,000","Exempt registrations","Number","34"
"Value Profile of New Cars Registered","2006","8,001 - 13,000","Net registrations","Number","4436"
"Value Profile of New Cars Registered","2006","13,001 - 14,000","Gross registrations","Number","6110"
"Value Profile of New Cars Registered","2006","13,001 - 14,000","Exempt registrations","Number","42"
"Value Profile of New Cars Registered","2006","13,001 - 14,000","Net registrations","Number","6068"
"Value Profile of New Cars Registered","2006","14,001 - 15,000","Gross registrations","Number","15644"
"Value Profile of New Cars Registered","2006","14,001 - 15,000","Exempt registrations","Number","180"
"Value Profile of New Cars Registered","2006","14,001 - 15,000","Net registrations","Number","15464"
"Value Profile of New Cars Registered","2006","15,001 - 20,000","Gross registrations","Number","43581"
"Value Profile of New Cars Registered","2006","15,001 - 20,000","Exempt registrations","Number","1061"
"Value Profile of New Cars Registered","2006","15,001 - 20,000","Net registrations","Number","42520"
"Value Profile of New Cars Registered","2006","20,001 - 25,000","Gross registrations","Number","43675"
"Value Profile of New Cars Registered","2006","20,001 - 25,000","Exempt registrations","Number","1234"
"Value Profile of New Cars Registered","2006","20,001 - 25,000","Net registrations","Number","42441"
"Value Profile of New Cars Registered","2006","25,001 - 30,000","Gross registrations","Number","24932"
"Value Profile of New Cars Registered","2006","25,001 - 30,000","Exempt registrations","Number","890"
"Value Profile of New Cars Registered","2006","25,001 - 30,000","Net registrations","Number","24042"
"Value Profile of New Cars Registered","2006","30,001 - 40,000","Gross registrations","Number","21212"
"Value Profile of New Cars Registered","2006","30,001 - 40,000","Exempt registrations","Number","1025"
"Value Profile of New Cars Registered","2006","30,001 - 40,000","Net registrations","Number","20187"
"Value Profile of New Cars Registered","2006","40,001 - 50,000","Gross registrations","Number","7000"
"Value Profile of New Cars Registered","2006","40,001 - 50,000","Exempt registrations","Number","202"
"Value Profile of New Cars Registered","2006","40,001 - 50,000","Net registrations","Number","6798"
"Value Profile of New Cars Registered","2006","50,001 - 60,000","Gross registrations","Number","4094"
"Value Profile of New Cars Registered","2006","50,001 - 60,000","Exempt registrations","Number","118"
"Value Profile of New Cars Registered","2006","50,001 - 60,000","Net registrations","Number","3976"
"Value Profile of New Cars Registered","2006","60,001 - 70,000","Gross registrations","Number","3019"
"Value Profile of New Cars Registered","2006","60,001 - 70,000","Exempt registrations","Number","31"
"Value Profile of New Cars Registered","2006","60,001 - 70,000","Net registrations","Number","2988"
"Value Profile of New Cars Registered","2006","70,001 - 80,000","Gross registrations","Number","1802"
"Value Profile of New Cars Registered","2006","70,001 - 80,000","Exempt registrations","Number","16"
"Value Profile of New Cars Registered","2006","70,001 - 80,000","Net registrations","Number","1786"
"Value Profile of New Cars Registered","2006","80,001 - 90,000","Gross registrations","Number","1136"
"Value Profile of New Cars Registered","2006","80,001 - 90,000","Exempt registrations","Number","10"
"Value Profile of New Cars Registered","2006","80,001 - 90,000","Net registrations","Number","1126"
"Value Profile of New Cars Registered","2006","90,001 - 100,000","Gross registrations","Number","454"
"Value Profile of New Cars Registered","2006","90,001 - 100,000","Exempt registrations","Number","3"
"Value Profile of New Cars Registered","2006","90,001 - 100,000","Net registrations","Number","451"
"Value Profile of New Cars Registered","2006","100,001 - 150,000","Gross registrations","Number","946"
"Value Profile of New Cars Registered","2006","100,001 - 150,000","Exempt registrations","Number","3"
"Value Profile of New Cars Registered","2006","100,001 - 150,000","Net registrations","Number","943"
"Value Profile of New Cars Registered","2006","150,001 - 200,000","Gross registrations","Number","125"
"Value Profile of New Cars Registered","2006","150,001 - 200,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2006","150,001 - 200,000","Net registrations","Number","124"
"Value Profile of New Cars Registered","2006","200,001 - 250,000","Gross registrations","Number","43"
"Value Profile of New Cars Registered","2006","200,001 - 250,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2006","200,001 - 250,000","Net registrations","Number","42"
"Value Profile of New Cars Registered","2006","Over 250,000","Gross registrations","Number","20"
"Value Profile of New Cars Registered","2006","Over 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2006","Over 250,000","Net registrations","Number","20"
"Value Profile of New Cars Registered","2006","All values","Gross registrations","Number","178265"
"Value Profile of New Cars Registered","2006","All values","Exempt registrations","Number","4851"
"Value Profile of New Cars Registered","2006","All values","Net registrations","Number","173414"
"Value Profile of New Cars Registered","2007","0 - 7000","Gross registrations","Number","6"
"Value Profile of New Cars Registered","2007","0 - 7000","Exempt registrations","Number","4"
"Value Profile of New Cars Registered","2007","0 - 7000","Net registrations","Number","2"
"Value Profile of New Cars Registered","2007","7,001 - 8,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2007","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2007","7,001 - 8,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2007","8,001 - 13,000","Gross registrations","Number","3772"
"Value Profile of New Cars Registered","2007","8,001 - 13,000","Exempt registrations","Number","41"
"Value Profile of New Cars Registered","2007","8,001 - 13,000","Net registrations","Number","3731"
"Value Profile of New Cars Registered","2007","13,001 - 14,000","Gross registrations","Number","2911"
"Value Profile of New Cars Registered","2007","13,001 - 14,000","Exempt registrations","Number","27"
"Value Profile of New Cars Registered","2007","13,001 - 14,000","Net registrations","Number","2884"
"Value Profile of New Cars Registered","2007","14,001 - 15,000","Gross registrations","Number","12748"
"Value Profile of New Cars Registered","2007","14,001 - 15,000","Exempt registrations","Number","157"
"Value Profile of New Cars Registered","2007","14,001 - 15,000","Net registrations","Number","12591"
"Value Profile of New Cars Registered","2007","15,001 - 20,000","Gross registrations","Number","46678"
"Value Profile of New Cars Registered","2007","15,001 - 20,000","Exempt registrations","Number","993"
"Value Profile of New Cars Registered","2007","15,001 - 20,000","Net registrations","Number","45685"
"Value Profile of New Cars Registered","2007","20,001 - 25,000","Gross registrations","Number","48445"
"Value Profile of New Cars Registered","2007","20,001 - 25,000","Exempt registrations","Number","1320"
"Value Profile of New Cars Registered","2007","20,001 - 25,000","Net registrations","Number","47125"
"Value Profile of New Cars Registered","2007","25,001 - 30,000","Gross registrations","Number","26129"
"Value Profile of New Cars Registered","2007","25,001 - 30,000","Exempt registrations","Number","1039"
"Value Profile of New Cars Registered","2007","25,001 - 30,000","Net registrations","Number","25090"
"Value Profile of New Cars Registered","2007","30,001 - 40,000","Gross registrations","Number","24642"
"Value Profile of New Cars Registered","2007","30,001 - 40,000","Exempt registrations","Number","1210"
"Value Profile of New Cars Registered","2007","30,001 - 40,000","Net registrations","Number","23432"
"Value Profile of New Cars Registered","2007","40,001 - 50,000","Gross registrations","Number","7931"
"Value Profile of New Cars Registered","2007","40,001 - 50,000","Exempt registrations","Number","241"
"Value Profile of New Cars Registered","2007","40,001 - 50,000","Net registrations","Number","7690"
"Value Profile of New Cars Registered","2007","50,001 - 60,000","Gross registrations","Number","4896"
"Value Profile of New Cars Registered","2007","50,001 - 60,000","Exempt registrations","Number","148"
"Value Profile of New Cars Registered","2007","50,001 - 60,000","Net registrations","Number","4748"
"Value Profile of New Cars Registered","2007","60,001 - 70,000","Gross registrations","Number","3353"
"Value Profile of New Cars Registered","2007","60,001 - 70,000","Exempt registrations","Number","49"
"Value Profile of New Cars Registered","2007","60,001 - 70,000","Net registrations","Number","3304"
"Value Profile of New Cars Registered","2007","70,001 - 80,000","Gross registrations","Number","1957"
"Value Profile of New Cars Registered","2007","70,001 - 80,000","Exempt registrations","Number","15"
"Value Profile of New Cars Registered","2007","70,001 - 80,000","Net registrations","Number","1942"
"Value Profile of New Cars Registered","2007","80,001 - 90,000","Gross registrations","Number","1150"
"Value Profile of New Cars Registered","2007","80,001 - 90,000","Exempt registrations","Number","12"
"Value Profile of New Cars Registered","2007","80,001 - 90,000","Net registrations","Number","1138"
"Value Profile of New Cars Registered","2007","90,001 - 100,000","Gross registrations","Number","635"
"Value Profile of New Cars Registered","2007","90,001 - 100,000","Exempt registrations","Number","6"
"Value Profile of New Cars Registered","2007","90,001 - 100,000","Net registrations","Number","629"
"Value Profile of New Cars Registered","2007","100,001 - 150,000","Gross registrations","Number","1348"
"Value Profile of New Cars Registered","2007","100,001 - 150,000","Exempt registrations","Number","5"
"Value Profile of New Cars Registered","2007","100,001 - 150,000","Net registrations","Number","1343"
"Value Profile of New Cars Registered","2007","150,001 - 200,000","Gross registrations","Number","159"
"Value Profile of New Cars Registered","2007","150,001 - 200,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2007","150,001 - 200,000","Net registrations","Number","158"
"Value Profile of New Cars Registered","2007","200,001 - 250,000","Gross registrations","Number","40"
"Value Profile of New Cars Registered","2007","200,001 - 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2007","200,001 - 250,000","Net registrations","Number","40"
"Value Profile of New Cars Registered","2007","Over 250,000","Gross registrations","Number","41"
"Value Profile of New Cars Registered","2007","Over 250,000","Exempt registrations","Number","2"
"Value Profile of New Cars Registered","2007","Over 250,000","Net registrations","Number","39"
"Value Profile of New Cars Registered","2007","All values","Gross registrations","Number","186841"
"Value Profile of New Cars Registered","2007","All values","Exempt registrations","Number","5270"
"Value Profile of New Cars Registered","2007","All values","Net registrations","Number","181571"
"Value Profile of New Cars Registered","2008","0 - 7000","Gross registrations","Number","6"
"Value Profile of New Cars Registered","2008","0 - 7000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2008","0 - 7000","Net registrations","Number","5"
"Value Profile of New Cars Registered","2008","7,001 - 8,000","Gross registrations","Number","57"
"Value Profile of New Cars Registered","2008","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2008","7,001 - 8,000","Net registrations","Number","57"
"Value Profile of New Cars Registered","2008","8,001 - 13,000","Gross registrations","Number","3293"
"Value Profile of New Cars Registered","2008","8,001 - 13,000","Exempt registrations","Number","45"
"Value Profile of New Cars Registered","2008","8,001 - 13,000","Net registrations","Number","3248"
"Value Profile of New Cars Registered","2008","13,001 - 14,000","Gross registrations","Number","3329"
"Value Profile of New Cars Registered","2008","13,001 - 14,000","Exempt registrations","Number","51"
"Value Profile of New Cars Registered","2008","13,001 - 14,000","Net registrations","Number","3278"
"Value Profile of New Cars Registered","2008","14,001 - 15,000","Gross registrations","Number","8784"
"Value Profile of New Cars Registered","2008","14,001 - 15,000","Exempt registrations","Number","115"
"Value Profile of New Cars Registered","2008","14,001 - 15,000","Net registrations","Number","8669"
"Value Profile of New Cars Registered","2008","15,001 - 20,000","Gross registrations","Number","35611"
"Value Profile of New Cars Registered","2008","15,001 - 20,000","Exempt registrations","Number","1008"
"Value Profile of New Cars Registered","2008","15,001 - 20,000","Net registrations","Number","34603"
"Value Profile of New Cars Registered","2008","20,001 - 25,000","Gross registrations","Number","41570"
"Value Profile of New Cars Registered","2008","20,001 - 25,000","Exempt registrations","Number","1318"
"Value Profile of New Cars Registered","2008","20,001 - 25,000","Net registrations","Number","40252"
"Value Profile of New Cars Registered","2008","25,001 - 30,000","Gross registrations","Number","24105"
"Value Profile of New Cars Registered","2008","25,001 - 30,000","Exempt registrations","Number","1093"
"Value Profile of New Cars Registered","2008","25,001 - 30,000","Net registrations","Number","23012"
"Value Profile of New Cars Registered","2008","30,001 - 40,000","Gross registrations","Number","18179"
"Value Profile of New Cars Registered","2008","30,001 - 40,000","Exempt registrations","Number","1248"
"Value Profile of New Cars Registered","2008","30,001 - 40,000","Net registrations","Number","16931"
"Value Profile of New Cars Registered","2008","40,001 - 50,000","Gross registrations","Number","7217"
"Value Profile of New Cars Registered","2008","40,001 - 50,000","Exempt registrations","Number","264"
"Value Profile of New Cars Registered","2008","40,001 - 50,000","Net registrations","Number","6953"
"Value Profile of New Cars Registered","2008","50,001 - 60,000","Gross registrations","Number","3627"
"Value Profile of New Cars Registered","2008","50,001 - 60,000","Exempt registrations","Number","99"
"Value Profile of New Cars Registered","2008","50,001 - 60,000","Net registrations","Number","3528"
"Value Profile of New Cars Registered","2008","60,001 - 70,000","Gross registrations","Number","2375"
"Value Profile of New Cars Registered","2008","60,001 - 70,000","Exempt registrations","Number","27"
"Value Profile of New Cars Registered","2008","60,001 - 70,000","Net registrations","Number","2348"
"Value Profile of New Cars Registered","2008","70,001 - 80,000","Gross registrations","Number","1356"
"Value Profile of New Cars Registered","2008","70,001 - 80,000","Exempt registrations","Number","14"
"Value Profile of New Cars Registered","2008","70,001 - 80,000","Net registrations","Number","1342"
"Value Profile of New Cars Registered","2008","80,001 - 90,000","Gross registrations","Number","921"
"Value Profile of New Cars Registered","2008","80,001 - 90,000","Exempt registrations","Number","10"
"Value Profile of New Cars Registered","2008","80,001 - 90,000","Net registrations","Number","911"
"Value Profile of New Cars Registered","2008","90,001 - 100,000","Gross registrations","Number","440"
"Value Profile of New Cars Registered","2008","90,001 - 100,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2008","90,001 - 100,000","Net registrations","Number","439"
"Value Profile of New Cars Registered","2008","100,001 - 150,000","Gross registrations","Number","891"
"Value Profile of New Cars Registered","2008","100,001 - 150,000","Exempt registrations","Number","15"
"Value Profile of New Cars Registered","2008","100,001 - 150,000","Net registrations","Number","876"
"Value Profile of New Cars Registered","2008","150,001 - 200,000","Gross registrations","Number","126"
"Value Profile of New Cars Registered","2008","150,001 - 200,000","Exempt registrations","Number","2"
"Value Profile of New Cars Registered","2008","150,001 - 200,000","Net registrations","Number","124"
"Value Profile of New Cars Registered","2008","200,001 - 250,000","Gross registrations","Number","39"
"Value Profile of New Cars Registered","2008","200,001 - 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2008","200,001 - 250,000","Net registrations","Number","39"
"Value Profile of New Cars Registered","2008","Over 250,000","Gross registrations","Number","22"
"Value Profile of New Cars Registered","2008","Over 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2008","Over 250,000","Net registrations","Number","22"
"Value Profile of New Cars Registered","2008","All values","Gross registrations","Number","151948"
"Value Profile of New Cars Registered","2008","All values","Exempt registrations","Number","5311"
"Value Profile of New Cars Registered","2008","All values","Net registrations","Number","146637"
"Value Profile of New Cars Registered","2009","0 - 7000","Gross registrations","Number","18"
"Value Profile of New Cars Registered","2009","0 - 7000","Exempt registrations","Number","2"
"Value Profile of New Cars Registered","2009","0 - 7000","Net registrations","Number","16"
"Value Profile of New Cars Registered","2009","7,001 - 8,000","Gross registrations","Number","1"
"Value Profile of New Cars Registered","2009","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2009","7,001 - 8,000","Net registrations","Number","1"
"Value Profile of New Cars Registered","2009","8,001 - 13,000","Gross registrations","Number","2348"
"Value Profile of New Cars Registered","2009","8,001 - 13,000","Exempt registrations","Number","40"
"Value Profile of New Cars Registered","2009","8,001 - 13,000","Net registrations","Number","2308"
"Value Profile of New Cars Registered","2009","13,001 - 14,000","Gross registrations","Number","2540"
"Value Profile of New Cars Registered","2009","13,001 - 14,000","Exempt registrations","Number","54"
"Value Profile of New Cars Registered","2009","13,001 - 14,000","Net registrations","Number","2486"
"Value Profile of New Cars Registered","2009","14,001 - 15,000","Gross registrations","Number","3546"
"Value Profile of New Cars Registered","2009","14,001 - 15,000","Exempt registrations","Number","66"
"Value Profile of New Cars Registered","2009","14,001 - 15,000","Net registrations","Number","3480"
"Value Profile of New Cars Registered","2009","15,001 - 20,000","Gross registrations","Number","12982"
"Value Profile of New Cars Registered","2009","15,001 - 20,000","Exempt registrations","Number","638"
"Value Profile of New Cars Registered","2009","15,001 - 20,000","Net registrations","Number","12344"
"Value Profile of New Cars Registered","2009","20,001 - 25,000","Gross registrations","Number","16441"
"Value Profile of New Cars Registered","2009","20,001 - 25,000","Exempt registrations","Number","924"
"Value Profile of New Cars Registered","2009","20,001 - 25,000","Net registrations","Number","15517"
"Value Profile of New Cars Registered","2009","25,001 - 30,000","Gross registrations","Number","9606"
"Value Profile of New Cars Registered","2009","25,001 - 30,000","Exempt registrations","Number","662"
"Value Profile of New Cars Registered","2009","25,001 - 30,000","Net registrations","Number","8944"
"Value Profile of New Cars Registered","2009","30,001 - 40,000","Gross registrations","Number","5802"
"Value Profile of New Cars Registered","2009","30,001 - 40,000","Exempt registrations","Number","632"
"Value Profile of New Cars Registered","2009","30,001 - 40,000","Net registrations","Number","5170"
"Value Profile of New Cars Registered","2009","40,001 - 50,000","Gross registrations","Number","2496"
"Value Profile of New Cars Registered","2009","40,001 - 50,000","Exempt registrations","Number","172"
"Value Profile of New Cars Registered","2009","40,001 - 50,000","Net registrations","Number","2324"
"Value Profile of New Cars Registered","2009","50,001 - 60,000","Gross registrations","Number","988"
"Value Profile of New Cars Registered","2009","50,001 - 60,000","Exempt registrations","Number","32"
"Value Profile of New Cars Registered","2009","50,001 - 60,000","Net registrations","Number","956"
"Value Profile of New Cars Registered","2009","60,001 - 70,000","Gross registrations","Number","220"
"Value Profile of New Cars Registered","2009","60,001 - 70,000","Exempt registrations","Number","14"
"Value Profile of New Cars Registered","2009","60,001 - 70,000","Net registrations","Number","206"
"Value Profile of New Cars Registered","2009","70,001 - 80,000","Gross registrations","Number","98"
"Value Profile of New Cars Registered","2009","70,001 - 80,000","Exempt registrations","Number","26"
"Value Profile of New Cars Registered","2009","70,001 - 80,000","Net registrations","Number","72"
"Value Profile of New Cars Registered","2009","80,001 - 90,000","Gross registrations","Number","79"
"Value Profile of New Cars Registered","2009","80,001 - 90,000","Exempt registrations","Number","7"
"Value Profile of New Cars Registered","2009","80,001 - 90,000","Net registrations","Number","72"
"Value Profile of New Cars Registered","2009","90,001 - 100,000","Gross registrations","Number","54"
"Value Profile of New Cars Registered","2009","90,001 - 100,000","Exempt registrations","Number","4"
"Value Profile of New Cars Registered","2009","90,001 - 100,000","Net registrations","Number","50"
"Value Profile of New Cars Registered","2009","100,001 - 150,000","Gross registrations","Number","99"
"Value Profile of New Cars Registered","2009","100,001 - 150,000","Exempt registrations","Number","9"
"Value Profile of New Cars Registered","2009","100,001 - 150,000","Net registrations","Number","90"
"Value Profile of New Cars Registered","2009","150,001 - 200,000","Gross registrations","Number","14"
"Value Profile of New Cars Registered","2009","150,001 - 200,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2009","150,001 - 200,000","Net registrations","Number","14"
"Value Profile of New Cars Registered","2009","200,001 - 250,000","Gross registrations","Number","1"
"Value Profile of New Cars Registered","2009","200,001 - 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2009","200,001 - 250,000","Net registrations","Number","1"
"Value Profile of New Cars Registered","2009","Over 250,000","Gross registrations","Number","4"
"Value Profile of New Cars Registered","2009","Over 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2009","Over 250,000","Net registrations","Number","4"
"Value Profile of New Cars Registered","2009","All values","Gross registrations","Number","57337"
"Value Profile of New Cars Registered","2009","All values","Exempt registrations","Number","3282"
